date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:00:25	284/284	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Jan%202023%2021:40:05%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/other/chevron-right.svg	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/other/chevron-right.svg	(from https://salmon-learn-nw.gungee.jp/assets/css/global.css?release=0.0.0)
01:00:26	17066/17066	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2013%20Jan%202023%2001:04:23%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/stage/small/Shakespiral.jpg	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/stage/small/Shakespiral.jpg	(from https://salmon-learn-nw.gungee.jp/maplist/)
01:00:26	17830/17830	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2013%20Jan%202023%2001:04:41%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/stage/small/Shakedent.jpg	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/stage/small/Shakedent.jpg	(from https://salmon-learn-nw.gungee.jp/maplist/)
01:00:26	28896/28896	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2020:44:34%20GMT	https://salmon-learn-nw.gungee.jp/map/?stage=Shakespiral&tide=Mid	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/map/index7cf5.html	(from https://salmon-learn-nw.gungee.jp/maplist/)
01:00:26	21548/21548	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2013%20Jan%202023%2001:04:11%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/stage/small/Shakeup.jpg	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/stage/small/Shakeup.jpg	(from https://salmon-learn-nw.gungee.jp/maplist/)
01:00:26	16160/16160	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2013%20Jan%202023%2001:04:31%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/stage/small/Shakeship.jpg	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/stage/small/Shakeship.jpg	(from https://salmon-learn-nw.gungee.jp/maplist/)
01:00:27	28896/28896	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2020:44:34%20GMT	https://salmon-learn-nw.gungee.jp/map/?stage=Shakespiral&tide=High	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/map/indexf387.html	(from https://salmon-learn-nw.gungee.jp/maplist/)
01:00:27	230/230	---M-Z	200	added ('OK')	image/png	date:Fri,%2027%20Jan%202023%2003:53:46%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/link/favicon-spreadsheet.png	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/link/favicon-spreadsheet.png	(from https://salmon-learn-nw.gungee.jp/link/)
01:00:27	356/356	---M-Z	200	added ('OK')	image/png	date:Fri,%2027%20Jan%202023%2003:06:52%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/link/favicon-wikiwiki.png	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/link/favicon-wikiwiki.png	(from https://salmon-learn-nw.gungee.jp/link/)
01:00:27	28896/28896	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2020:44:34%20GMT	https://salmon-learn-nw.gungee.jp/map/?stage=Shakespiral&tide=Low	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/map/index76b3.html	(from https://salmon-learn-nw.gungee.jp/maplist/)
01:00:27	441/441	---M-Z	200	added ('OK')	image/png	date:Fri,%2027%20Jan%202023%2005:11:30%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/link/favicon-overfishing-wiki.png	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/link/favicon-overfishing-wiki.png	(from https://salmon-learn-nw.gungee.jp/link/)
01:00:27	411/411	---M-Z	200	added ('OK')	image/png	date:Fri,%2027%20Jan%202023%2003:53:52%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/link/favicon-overfishing-nw-wiki.png	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/link/favicon-overfishing-nw-wiki.png	(from https://salmon-learn-nw.gungee.jp/link/)
